ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","5,66,619","177.72","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","BLITZQUANT RESEARCH LLP","SELL","9,78,587","180.95","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","BLITZQUANT RESEARCH LLP","BUY","9,78,587","180.87","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","CLT RESEARCH TECH PRIVATE LTD","BUY","6,94,451","180.11","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","CLT RESEARCH TECH PRIVATE LTD","SELL","6,94,451","180.18","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","14,99,942","179.07","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","15,04,474","179.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","9,90,366","179.79","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","10,08,356","179.20","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","SELL","6,65,692","180.70","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","BUY","6,65,692","180.65","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","SELL","4,34,934","177.98","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","BUY","4,34,934","175.76","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IRAGE BROKING SERVICES LLP","SELL","7,17,911","179.37","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IRAGE BROKING SERVICES LLP","BUY","11,96,689","177.83","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","11,94,848","179.87","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","11,94,848","179.94","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,84,142","178.68","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","9,34,768","178.62","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","23,40,374","180.23","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","23,40,374","180.26","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","16,72,678","179.46","-"
